Gene Symbol	Gene ID	logFC	FDR corrected Pvalue
N4BP1	9683	0.034742748	0.760292418
CAMLG	819	-0.045933126	0.760292418
THSD4	79875	0.109054125	0.760292418
PTPRJ	5795	0.051528286	0.760499964
LRRC34	151827	-0.0747329	0.760850246
PIGA	5277	-0.043214423	0.761062935
TRIM66	9866	-0.065173712	0.761141772
ISOC1	51015	-0.041820576	0.761173529
SGTA	6449	-0.032905792	0.761284011
TAOK3	51347	-0.040239537	0.761598996
C1orf124	83932	0.035755164	0.762040948
CENPP	401541	0.049956903	0.762040948
GRINA	2907	-0.04756159	0.762394887
THSD7B	80731	0.132177571	0.762394887
LRRC49	54839	-0.055147539	0.762798552
DNAH11	8701	-0.134508958	0.762841068
CCNY	219771	0.03564395	0.762962414
FAM154B	283726	0.103227789	0.762962414
PCSK6	5046	-0.119236512	0.763124836
SCYL1	57410	-0.030656216	0.763677176
KPNA5	3841	0.055515589	0.763916177
FLJ45445	399844	-0.080273023	0.763977652
CXCL5	6374	-0.158921133	0.764036215
TSSK4	283629	0.066609786	0.76429571
DVL2	1856	-0.038616639	0.764333594
A2M	2	-0.057543724	0.765095124
C1orf220	400798	-0.082497631	0.765104768
RPL19P12	100129424	-0.07427747	0.765127133
SLC16A13	201232	-0.061014722	0.765178269
AMICA1	120425	0.081191591	0.765214993
KCNT1	57582	-0.128944943	0.765312612
CENPBD1	92806	-0.043575747	0.765314536
NAALADL2	254827	-0.083308699	0.765410783
TCF25	22980	0.035447576	0.765480571
RAVER1	125950	-0.048684804	0.765943253
TLR9	54106	0.073672097	0.765943253
DDX21	9188	-0.037595757	0.765972776
RASGRP3	25780	-0.049087452	0.765979013
DYNC1I2	1781	-0.035784932	0.765979013
CCDC159	126075	-0.052576239	0.765988092
ZNF419	79744	0.049784193	0.765988092
AHR	196	-0.053779969	0.766071791
USP13	8975	-0.054548076	0.766294148
DPP9	91039	0.035813258	0.766608311
ZNF785	146540	0.038288995	0.76664077
PHC2	1912	0.032167288	0.76664077
WIPF3	644150	-0.081968385	0.76668532
CA3	761	0.09485341	0.766739857
ARL5A	26225	0.031923177	0.766884167
PPP1R2	5504	0.039492769	0.767065981
PHF6	84295	-0.036954707	0.767201724
GABRA3	2556	0.197374638	0.767317326
C7orf31	136895	0.054308064	0.767317326
FCGR3B	2215	-0.127318626	0.767432332
FLJ36031	168455	-0.041827346	0.767432332
SLC38A9	153129	0.043531177	0.767683031
C14orf101	54916	-0.038855664	0.767740929
TNNT1	7138	-0.091617576	0.767746797
ZNF813	126017	0.049604063	0.767854856
KPNA4	3840	-0.031798553	0.767854856
PPFIA3	8541	-0.082025281	0.767854856
LRRK2	120892	-0.088378154	0.767972073
UBR3	130507	0.030831988	0.76798484
GPR35	2859	-0.068116752	0.768074041
SCN9A	6335	-0.137432271	0.768280186
ZNF28	7576	-0.045077263	0.768280186
NSMAF	8439	-0.035588092	0.768392298
SERPINA1	5265	-0.090058789	0.768392298
FTCD	10841	-0.106853045	0.768392298
TWISTNB	221830	0.039160011	0.76851437
COX19	90639	-0.046461392	0.768668314
RBL2	5934	0.035008114	0.768682706
SUPT7L	9913	-0.031331706	0.7688362
BCL2L13	23786	-0.035628495	0.768956798
BRE	9577	0.0352072	0.76908004
LRRC7	57554	-0.159522501	0.769337075
TBC1D1	23216	0.039388712	0.769352074
PITPNC1	26207	0.071348328	0.769352074
NXF3	56000	-0.192765526	0.769461199
C14orf19	280655	-0.056742234	0.770259281
DYNC2LI1	51626	-0.040309032	0.770736237
CHRAC1	54108	-0.041894002	0.770767857
NCSTN	23385	-0.032269328	0.771365699
PLLP	51090	0.071096795	0.771401207
FLJ44606	401207	-0.072212864	0.771401207
DENND1A	57706	0.034932719	0.771437052
SIRT2	22933	-0.051019725	0.771437052
ASTL	431705	0.109215273	0.771437052
PTPRF	5792	0.043656092	0.771437665
HIST1H1B	3009	-0.109943106	0.771443503
RASEF	158158	-0.076210136	0.771800766
GPR157	80045	-0.067458066	0.771870278
AP3B2	8120	-0.082885038	0.771980686
KIAA0240	23506	-0.044041492	0.771980686
ZNF841	284371	0.049692719	0.772197822
CHST12	55501	0.037682114	0.772205907
MS4A4A	51338	0.060174687	0.772338491
BICD1	636	0.059562084	0.772338491
ZNF616	90317	0.038532606	0.772338491
BFAR	51283	-0.04328194	0.772351547
MOCS2	4338	-0.042026717	0.772516364
SEPT7P2	641977	-0.045566215	0.772516364
C10orf79	80217	-0.089661933	0.772671592
TMPRSS4	56649	-0.109670493	0.772819807
MT1X	4501	-0.077765643	0.772819807
PXK	54899	-0.045604584	0.772819807
LRRC8C	84230	-0.046976197	0.772819807
DDX31	64794	-0.033695456	0.773006687
PIGU	128869	0.033420634	0.773065584
ROGDI	79641	0.04656396	0.773188966
IMPACT	55364	-0.043174608	0.773533467
ZBTB26	57684	0.042431529	0.773533467
TFEB	7942	-0.049429191	0.773669148
PCIF1	63935	0.032594231	0.774065963
TOX	9760	-0.09680867	0.774159251
CLEC18B	497190	-0.131219135	0.774159251
MMP25	64386	-0.062943162	0.774219752
UFC1	51506	-0.04014775	0.774247732
PRAP1	118471	-0.149780764	0.774247732
SIGLEC10	89790	0.085539571	0.774247732
TAF3	83860	0.037308153	0.774247732
NELL2	4753	0.105870497	0.774251283
NPW	283869	-0.114019803	0.774251283
CCNG2	901	-0.040919918	0.774251283
ACVR1B	91	-0.039904226	0.77428933
POP1	10940	-0.036615416	0.774341431
YPEL5	51646	-0.034500331	0.774864046
ZC3HAV1L	92092	-0.045742702	0.775221202
SYCE1L	100130958	0.086105313	0.775321049
NDUFAF1	51103	0.036828213	0.77595219
STAM2	10254	-0.029878621	0.775965417
NDUFS4	4724	-0.055553393	0.775979254
KIAA1529	57653	0.074255729	0.775979254
C10orf11	83938	-0.066186047	0.775979254
CDK10	8558	-0.045353014	0.775979254
C13orf37	440145	-0.044142944	0.776178276
FBXL12	54850	-0.043116618	0.776760305
HSD17B12	51144	0.039099265	0.776891735
FAM174B	400451	0.062354154	0.777791624
RHOD	29984	0.057533065	0.777808602
INTS9	55756	-0.039531446	0.777931955
DNAJC16	23341	0.03373086	0.777931955
SEC22C	9117	-0.033239474	0.778269036
PNPLA2	57104	-0.044491655	0.778302853
SCFD2	152579	0.034873213	0.778363347
PGR	5241	0.135391447	0.778417322
C20orf11	54994	0.032180749	0.778417322
GLIPR1L2	144321	0.081347631	0.778499211
WDR55	54853	-0.03620598	0.778673192
YWHAZ	7534	-0.038500993	0.778763504
FBXO28	23219	-0.029454816	0.778766961
PABPC1	26986	0.045098209	0.778872406
LETMD1	25875	-0.041393545	0.778888095
EDC4	23644	-0.035206844	0.778942519
C20orf4	25980	-0.025932983	0.779193407
SMG7	9887	-0.032500886	0.779823057
TAF15	8148	0.03715843	0.779839796
CCDC104	112942	-0.040085461	0.780097687
UBA2	10054	-0.047868421	0.780155435
ARFRP1	10139	0.03826781	0.780440592
SH2B1	25970	-0.036487292	0.780493541
ADRB1	153	-0.098816655	0.780529894
LCMT2	9836	-0.037073165	0.780548113
C14orf28	122525	0.042254861	0.780548113
HEBP1	50865	0.042277141	0.780548113
KIAA1191	57179	-0.033042566	0.780575213
FAM19A3	284467	0.098358684	0.780575213
XKR9	389668	0.100946541	0.780748948
PLXNB1	5364	0.049064203	0.781385008
MXD4	10608	0.04092522	0.781385008
CLASP1	23332	0.035557215	0.781472932
TIGD5	84948	-0.049516325	0.781482292
MTMR11	10903	0.050807129	0.781482292
SERGEF	26297	-0.039616079	0.781891846
EXOC3L	283849	0.047691378	0.781891846
KIAA1383	54627	0.068999342	0.782135833
IL32	9235	-0.081461346	0.782350026
KIAA1274	27143	-0.05599721	0.782397532
ANKRD17	26057	-0.041869885	0.782537482
TM2D2	83877	0.038858434	0.782537482
PLIN2	123	-0.059768279	0.782633189
MICAL1	64780	0.049110169	0.782633189
CATSPER2	117155	-0.072270738	0.78264728
ZMIZ2	83637	-0.039040044	0.78264728
PTK2B	2185	-0.047093796	0.782808072
NCRNA00201	284702	0.066885601	0.782849472
ZFAND2B	130617	-0.035303549	0.782849472
ATL1	51062	0.047834379	0.782849472
ERCC8	1161	0.036988998	0.782849472
BRPF3	27154	-0.038176278	0.782849472
NEDD4L	23327	-0.047282656	0.782849472
RABGAP1L	9910	-0.042210487	0.782876958
RCOR3	55758	0.036146267	0.782876958
ZSWIM3	140831	-0.03506986	0.782924943
UXS1	80146	0.030323997	0.783019837
ATP1B1	481	-0.053776334	0.783019837
KDM5C	8242	-0.037658522	0.7834245
ZNF460	10794	-0.051580763	0.783539126
GLT25D1	79709	0.038501489	0.783539126
TMEM185A	84548	0.034236908	0.783628431
PPAP2C	8612	-0.080221761	0.783628431
CAPS2	84698	-0.076871468	0.783885599
TRIM68	55128	-0.042261266	0.784002587
HOXB8	3218	0.15225951	0.784007505
ADSSL1	122622	0.058563163	0.784458596
NR2F6	2063	-0.04988894	0.78451634
BAG5	9529	0.032718248	0.784933424
SMARCA5	8467	0.031146818	0.785080731
MICALCL	84953	-0.080676686	0.785080731
TAF1	6872	0.036799396	0.785141634
CCDC64B	146439	0.056568397	0.785141634
C3orf42	84657	0.054471064	0.78541686
TOLLIP	54472	-0.030896275	0.78541686
CAMKK2	10645	0.030142119	0.78541686
CCNT2	905	0.031815132	0.785595146
RYK	6259	0.027134828	0.785595146
SMPD3	55512	-0.084459897	0.785622867
ZFP92	139735	-0.081130631	0.785622867
C14orf149	112849	0.041618984	0.785879955
NFXL1	152518	-0.037338306	0.78637419
CABIN1	23523	-0.03891967	0.786393957
SENP1	29843	-0.032667802	0.786638451
C20orf108	116151	0.03955603	0.786638451
FBXL5	26234	-0.036842787	0.786714702
CCDC39	339829	0.095675456	0.786714702
WEE1	7465	0.042302371	0.786739049
BMP3	651	-0.150699841	0.786786028
LRP2BP	55805	0.067181895	0.786786028
AGAP7	653268	-0.075841842	0.786786028
SETD1B	23067	0.04019461	0.787137098
KIAA2018	205717	0.03721085	0.787448966
TM6SF1	53346	-0.045695772	0.787448966
SNTN	132203	-0.153684414	0.787691718
RAB40C	57799	-0.035953412	0.787875409
TRIM58	25893	-0.085989384	0.787875409
FAM177A1	283635	-0.032860209	0.788272359
USP7	7874	0.033902192	0.788581695
PRMT6	55170	0.03909886	0.78869235
C13orf30	144809	0.183392724	0.788723322
TMEM209	84928	0.031527061	0.788723322
FAM59A	64762	-0.050815494	0.788723322
C9orf119	375757	0.041560918	0.788761102
BBS1	582	-0.031252538	0.789061194
LRRC23	10233	0.057958151	0.789061194
KRT10	3858	0.043510814	0.789845423
EPHA7	2045	0.127359118	0.790183537
ZBTB24	9841	-0.035240242	0.79038167
PRLR	5618	0.110475721	0.79038167
XIST	7503	0.097995289	0.790699826
DENR	8562	-0.028795847	0.790746763
ANKRD42	338699	0.046624203	0.790746763
ACTL8	81569	-0.173192749	0.790852479
PANK4	55229	-0.032446524	0.790852479
THSD7A	221981	0.114671042	0.790852479
ITIH5L	347365	0.130198644	0.790852479
SIPA1L3	23094	0.048858848	0.791090703
ZNF879	345462	-0.044341417	0.791369916
NSA2	10412	-0.041576233	0.791509949
PARP4	143	0.037957628	0.791509949
TMEM17	200728	0.045499366	0.791519436
MAGEE1	57692	0.054146889	0.791878586
HADHA	3030	0.027758889	0.791878586
SCYL2	55681	-0.034574089	0.79204007
CRTAM	56253	0.094819922	0.792268819
CPA4	51200	0.113072431	0.792316031
C15orf33	196951	-0.05989394	0.792316031
ZNF473	25888	-0.036146221	0.792640019
BCAR3	8412	0.047603192	0.792657736
MAP7D3	79649	0.037154496	0.792917079
CLU	1191	-0.085808682	0.793149305
MT1H	4496	-0.151244994	0.793381896
TPCN1	53373	0.042229407	0.793536633
EBF3	253738	0.110564966	0.793588487
TAF9B	51616	-0.051370964	0.793588487
AMFR	267	-0.035141724	0.794096029
RABEP1	9135	0.029853127	0.794495211
C9orf85	138241	-0.034781792	0.794495211
UTRN	7402	0.042899422	0.794495211
CD82	3732	0.05303123	0.794558438
TRIM44	54765	0.029743593	0.794562962
SGSH	6448	-0.037187483	0.794587969
SFRS18	25957	0.038890915	0.794587969
DDX27	55661	0.026314847	0.794892633
MTA3	57504	-0.029343802	0.794985732
TPT1	7178	0.052627494	0.795562366
TGIF2	60436	-0.036620865	0.795562366
UPF1	5976	0.035268538	0.795574544
ANKIB1	54467	-0.028299586	0.795696986
REL	5966	0.043530958	0.795925782
MAP3K2	10746	0.034140517	0.795976836
CIB2	10518	0.059749445	0.795976836
MPV17L	255027	-0.087677691	0.796458437
SRM	6723	-0.034736837	0.796479916
ZNF732	654254	0.079287441	0.796484727
ZNF48	197407	-0.031164554	0.796484727
ASB7	140460	-0.031624683	0.796508005
PIGL	9487	-0.041849411	0.796822211
FAM134A	79137	0.025850911	0.797219157
PDXDC1	23042	-0.041309102	0.797395829
BEX1	55859	0.135888655	0.797395829
C8orf79	57604	-0.113346645	0.79746435
ZNF860	344787	-0.05897175	0.797546769
ETF1	2107	-0.027827898	0.797562762
SGMS2	166929	0.046519317	0.797562762
IL17RA	23765	-0.037724318	0.797671392
DUSP15	128853	-0.079379383	0.797671392
TSPAN14	81619	-0.033404899	0.797764911
GTF2H3	2967	0.032222081	0.798013632
UPK3BL	100134938	0.102033193	0.798437183
NOL9	79707	-0.039099563	0.799046263
KY	339855	-0.115924579	0.799556997
SQLE	6713	-0.054547722	0.799556997
MKX	283078	-0.103031191	0.799843044
TDRD6	221400	0.071294381	0.799957757
C8orf55	51337	-0.05289142	0.799957757
EMR2	30817	0.057267313	0.799957757
QSOX1	5768	0.041085061	0.800162705
GHDC	84514	-0.034629567	0.800162705
PTPN3	5774	0.044027564	0.80021159
PHLPP1	23239	0.046922739	0.800653515
DKKL1	27120	-0.078984467	0.800721336
KIAA0100	9703	0.039464295	0.800791983
ZNF268	10795	-0.036744605	0.800976189
JAK3	3718	0.057978651	0.801105335
GPR137C	283554	-0.059926064	0.801108374
C20orf29	55317	-0.032735731	0.801121966
TMEM8B	51754	-0.039584032	0.80121369
DHRS9	10170	-0.111226223	0.801214036
KIAA0895	23366	-0.04481478	0.801520319
ZC3H14	79882	-0.026966643	0.801520319
DNASE1	1773	-0.054412558	0.801520319
ZSWIM4	65249	0.054489446	0.801647564
MAP6D1	79929	-0.049430719	0.801727773
CD81	975	0.041366869	0.801747014
TOMM40	10452	-0.04438778	0.801747014
DIAPH2	1730	-0.046050833	0.801747014
ARPM1	84517	-0.048103678	0.801747014
ZFR	51663	0.019999566	0.802266451
MANBAL	63905	-0.028981725	0.80230114
AHCTF1	25909	-0.02921875	0.80230114
PDCD6IP	10015	-0.025573002	0.802460985
BLCAP	10904	-0.02914744	0.802460985
AARSD1	80755	-0.031499527	0.802474156
QARS	5859	-0.03220422	0.802499454
FHL1	2273	-0.073865461	0.802509366
S100A2	6273	0.102287072	0.802641652
ZNF233	353355	-0.055762334	0.803492598
MARCH3	115123	0.054625635	0.803492598
TSPAN12	23554	-0.069990288	0.803564113
NFKBIZ	64332	0.061714191	0.804062611
GLRB	2743	-0.056778652	0.804062611
C18orf18	147525	-0.056780672	0.804066408
C9orf69	90120	0.032120054	0.804066408
ZFYVE26	23503	-0.035947217	0.804066408
C6orf211	79624	-0.046204645	0.804066408
ZNF844	284391	-0.049561105	0.804213058
RPS23	6228	-0.046120589	0.804287115
GOLGA6L10	647042	0.055173382	0.804287115
PABPC4	8761	0.054522166	0.804287115
GGA1	26088	0.032329719	0.804413167
B4GALT3	8703	-0.031467802	0.804632291
RIMKLB	57494	-0.039097287	0.804769388
NRIP3	56675	0.056865593	0.804769388
WDR72	256764	-0.126189409	0.804865002
GCC2	9648	0.028765303	0.804914435
NOS3	4846	0.052174462	0.804976149
RDH13	112724	0.044321916	0.804976149
CDC40	51362	-0.033977199	0.804976149
PC	5091	0.041700399	0.805183048
DNAJC6	9829	-0.062387555	0.805290625
PRKCI	5584	-0.046602122	0.805340419
HDAC2	3066	-0.036568725	0.8053585
ANK2	287	-0.083707658	0.80543245
MARCH7	64844	-0.02781444	0.805925908
ZNF121	7675	-0.048920567	0.806490742
C17orf60	284021	-0.059033872	0.806755481
PGM3	5238	-0.034557613	0.806755481
ITGB8	3696	0.062767137	0.807149218
MGC70857	414919	0.042627177	0.807218263
TBX18	9096	0.130500059	0.807290843
SETD8	387893	0.027846095	0.80735094
UQCRB	7381	-0.04136808	0.80735094
THOC2	57187	0.026321923	0.807594818
FIZ1	84922	0.031758402	0.80760919
DPEP2	64174	0.059295851	0.808041969
THAP2	83591	0.043877015	0.80807293
JAK1	3716	-0.02982832	0.808550194
IDI2	91734	-0.040709487	0.808550194
CBR4	84869	-0.041970683	0.808550194
SREBF1	6720	0.044601311	0.808764446
RANBP10	57610	-0.031868669	0.808934265
MKL2	57496	0.036502041	0.809091303
ULK2	9706	0.040295864	0.809137641
UFM1	51569	0.030213027	0.809137641
DSC2	1824	0.066927141	0.809739842
ZNF497	162968	-0.047204338	0.809910282
TCEAL8	90843	0.031814248	0.809910282
ADAT1	23536	-0.035501001	0.810077893
TSNAXIP1	55815	0.070390943	0.810141694
KIAA1009	22832	-0.039593846	0.810760501
COPB1	1315	0.026149913	0.810941016
RBM19	9904	0.033652098	0.811335063
SET	6418	0.024983468	0.811335063
SMPX	23676	-0.09298052	0.811335063
NCDN	23154	0.036795925	0.811659576
MAP3K10	4294	0.052513292	0.812430472
VOPP1	81552	0.028970914	0.813224371
CTNNAL1	8727	0.042791895	0.813269796
SLC35D2	11046	-0.03262789	0.813320549
UBXN2A	165324	0.027935962	0.813320549
SESN2	83667	-0.039144769	0.813320549
FAM181A	90050	-0.071508302	0.813320549
SMAP2	64744	0.035710204	0.813320549
PCLO	27445	0.072889269	0.813320549
ZNF92	168374	-0.033596493	0.813618376
UBE2K	3093	-0.026366159	0.81381291
RNASEN	29102	-0.027363582	0.813867687
PAPD5	64282	0.033390762	0.81394763
CNO	55330	-0.032551322	0.81394763
EMP3	2014	0.044213677	0.813996219
CDV3	55573	0.02482557	0.814000816
ZCCHC4	29063	0.033884387	0.814046564
SLC27A2	11001	-0.067825678	0.81405462
ZNF136	7695	0.041280858	0.814176678
C2orf89	129293	-0.091596912	0.814428221
ORMDL3	94103	0.055450685	0.814641656
APOB48R	55911	-0.05165985	0.814641656
ZNF208	7757	-0.099077043	0.814736633
ZNF317	57693	-0.035245536	0.81487275
MARK3	4140	-0.026724297	0.815226306
HIPK1	204851	-0.034055709	0.815226306
FBXO15	201456	-0.086172724	0.815253707
ZNF765	91661	-0.035506798	0.81569675
KIAA0317	9870	-0.03284843	0.815801859
RPS2	6187	-0.041067359	0.815894054
GATS	352954	0.050935564	0.815925708
FAM124A	220108	0.060364337	0.815949833
MYO9A	4649	-0.038644569	0.81603508
ZCCHC11	23318	0.02764634	0.816235877
SAP30L	79685	0.028625978	0.816713473
C9orf117	286207	0.077825125	0.816887782
UBXN2B	137886	0.031113344	0.816893148
SDF4	51150	-0.029271481	0.816893148
CUL4B	8450	-0.024782671	0.817074189
AIFM3	150209	-0.072751929	0.81713642
RPS6KA6	27330	0.091474739	0.81713642
THRA	7067	0.042537465	0.81713642
OSBP	5007	-0.021998204	0.81713642
ABCD4	5826	0.028673615	0.817144434
TMOD3	29766	0.030873783	0.817368027
RAB22A	57403	0.023262051	0.817548906
UBQLN2	29978	-0.026844397	0.817548906
SBDS	51119	-0.025147191	0.817548906
UNC5CL	222643	0.066722984	0.817548906
C1orf229	388759	0.067202931	0.817548906
C6orf48	50854	0.045968878	0.817591059
SLC4A1AP	22950	-0.022785023	0.817591059
ZFP62	643836	0.031349179	0.817607797
FLJ10213	55096	-0.049267782	0.817937961
ANKRD44	91526	0.056586027	0.818020339
CCDC109A	90550	0.031382529	0.818245385
GATA5	140628	-0.143298522	0.818452952
ANUBL1	93550	-0.033456398	0.818452952
C10orf76	79591	0.023895819	0.818452952
GOSR1	9527	-0.022941705	0.818452952
CBX5	23468	0.032947927	0.818452952
MRPS27	23107	0.035177916	0.818452952
NELL1	4745	0.165707903	0.81874706
FAM22A	728118	0.053672762	0.81874706
CUEDC1	404093	0.039065324	0.818815572
GPR12	2835	0.139672893	0.819126795
SLC25A36	55186	-0.025282229	0.819126795
SPDYE8P	389517	0.04748339	0.819126795
AKD1	221264	0.047434606	0.819165502
GOLGA1	2800	-0.02885241	0.81966073
CCDC81	60494	-0.093035981	0.819735017
NPTX2	4885	0.102246673	0.819863829
DLEC1	9940	0.089239259	0.819863829
HIVEP1	3096	-0.033858038	0.819863829
ANKRD9	122416	-0.041417795	0.819971087
WDFY4	57705	0.058418164	0.819971087
C10orf67	256815	-0.093125613	0.820290474
NRG3	10718	-0.126101221	0.82041851
ZUFSP	221302	-0.028732854	0.82041851
ANKRD46	157567	-0.036308453	0.82041851
MTHFSD	64779	-0.030207788	0.82041851
AATK	9625	0.07682802	0.82041851
CTSL2	1515	-0.066743025	0.820426318
NPC1	4864	-0.034169976	0.82061883
SLC3A1	6519	-0.110833796	0.82061883
PBX1	5087	-0.03184379	0.820815102
CCDC121	79635	0.033155053	0.820927179
SLC35A3	23443	-0.032093536	0.821399253
TCEAL2	140597	0.098179276	0.821481253
VAMP4	8674	0.028979416	0.821911671
SEC14L4	284904	-0.102889227	0.821911671
ZNF579	163033	0.034267986	0.822075891
MAP2K5	5607	-0.028501298	0.82213305
RTN2	6253	-0.053500601	0.82213305
C11orf75	56935	0.047667326	0.822415156
TREX2	11219	0.06232124	0.822415156
PDK3	5165	-0.048989586	0.822716721
SGTB	54557	0.028798581	0.822744446
MFSD7	84179	0.053976345	0.823177087
FAM13AOS	285512	-0.053620187	0.823671808
GDPD1	284161	-0.051313833	0.824160346
STK39	27347	-0.047339045	0.824160346
SLC16A5	9121	-0.045710367	0.824413013
PRPS1	5631	-0.029115846	0.824486482
RGS12	6002	0.033564745	0.824486482
SLC31A1	1317	0.031490368	0.824829553
ATP6V1B1	525	-0.069945849	0.824905629
DOPEY1	23033	-0.03250619	0.824933366
TRPM8	79054	-0.114374535	0.825097177
SUGT1	10910	0.031738187	0.825337469
P704P	641455	0.065666057	0.825337469
PRSS1	5644	0.101897323	0.825718904
CTSO	1519	-0.036886361	0.825958278
ZNF784	147808	-0.034441964	0.825958278
NEU3	10825	-0.039209347	0.826002108
BIN1	274	0.042486409	0.826002108
CFI	3426	-0.052516445	0.826002108
FAM40B	57464	-0.071793873	0.826002108
HMGCR	3156	-0.03179169	0.826002108
TNFRSF6B	8771	-0.082576635	0.826249496
ZNF653	115950	-0.036688861	0.826281612
KIF21A	55605	-0.043572974	0.826281612
TXK	7294	0.071695998	0.82631899
TMIE	259236	-0.057266461	0.826506664
GTF3C4	9329	0.030030994	0.826570556
RPH3AL	9501	0.069807721	0.82676307
GREB1	9687	0.077160525	0.82676307
SERPINB8	5271	-0.042008186	0.826939249
UPK1A	11045	0.136645329	0.827003578
PGBD2	267002	-0.026883515	0.827304997
EXOC7	23265	-0.025176184	0.828125996
USF2	7392	-0.0373356	0.828293673
PPIL2	23759	0.028117235	0.828528345
ZNF326	284695	-0.025728963	0.828528345
EIF3C	8663	-0.047807657	0.82864285
CLCF1	23529	-0.046803935	0.828733964
NAA40	79829	-0.027175595	0.828867687
ZNF397OS	100101467	-0.041938068	0.828995672
PNMA6A	84968	-0.060078024	0.828996503
RAB1A	5861	-0.019653849	0.829801935
CHRNB1	1140	0.047899774	0.830237156
PCDHA4	56144	0.104852561	0.830237156
PGA5	5222	0.127161452	0.830237156
PSME3	10197	-0.022916668	0.830527182
ADAL	161823	-0.034441269	0.830782061
C1orf101	257044	0.060944593	0.831136982
AGAP2	116986	-0.051044104	0.831136982
CCBL1	883	0.035952735	0.831136982
LY6G6C	80740	-0.096806848	0.831329544
NFE2L1	4779	-0.029255824	0.831329544
BOC	91653	0.060051945	0.83139267
BAP1	8314	-0.025751438	0.831552017
NOTCH2	4853	0.0358895	0.831552017
ABCG1	9619	-0.046317192	0.831552017
ZNF845	91664	0.032111958	0.831568907
SCARNA2	677766	-0.074182112	0.831571762
DNAJC24	120526	0.026659987	0.831739686
TTC23L	153657	-0.06519737	0.83215018
RABL2A	11159	0.033251987	0.83215018
ZDHHC2	51201	-0.047542985	0.832161484
EMID1	129080	0.055252329	0.832369254
PLCXD2	257068	0.050159012	0.832369254
RND2	8153	-0.064414833	0.832501707
R3HDM2	22864	0.026992802	0.832501707
LDHB	3945	0.042363005	0.832517112
CXorf23	256643	0.028034457	0.832594837
CFTR	1080	-0.131947503	0.83276961
PDCL	5082	0.023700573	0.833113155
SENP2	59343	0.026424644	0.833224705
SPAG6	9576	-0.162612864	0.833224705
LINGO1	84894	-0.064677475	0.833275643
NUDT13	25961	-0.055499014	0.833275643
SRRM5	100170229	0.043419813	0.833504078
MED17	9440	-0.022663399	0.833811389
UNKL	64718	0.034018591	0.833939472
C20orf165	128497	-0.053143827	0.834041004
KIAA2026	158358	-0.030570468	0.834106103
C16orf48	84080	-0.036558555	0.834198149
CCDC65	85478	-0.074866818	0.834198149
DGKZ	8525	-0.024870769	0.834570408
CTSE	1510	-0.11092677	0.834570408
PPP1R10	5514	0.021860474	0.834570408
ARHGAP11B	89839	0.05276672	0.834570408
DNAJC27	51277	0.027523512	0.83457576
RYR2	6262	0.088611641	0.83457576
WNK3	65267	0.044170372	0.834755387
C1orf173	127254	0.11122259	0.834755387
CLSTN1	22883	0.029256982	0.834999548
C11orf66	220004	0.07311498	0.834999548
NINJ2	4815	-0.064095107	0.834999548
C2orf27A	29798	0.04675312	0.834999548
ZFPM1	161882	0.036067484	0.834999548
VPS41	27072	0.024736039	0.835200808
LHFPL2	10184	0.028366282	0.835402632
CTDSPL2	51496	-0.026353137	0.835402632
NBR2	10230	0.053079531	0.835580713
CENPV	201161	0.063959795	0.835847686
SMARCD3	6604	0.0516106	0.835883607
PTP4A3	11156	-0.04692015	0.836043779
GALNT14	79623	0.065686802	0.836141957
SLC38A2	54407	-0.03286541	0.83622686
ARSK	153642	-0.034196238	0.83632716
OSTC	58505	-0.030662053	0.83632716
KLHL31	401265	-0.062547153	0.836354503
BDNFOS	497258	-0.045822499	0.836597794
WBP5	51186	0.027342083	0.836930977
EIF4G1	1981	0.024952653	0.83701755
CCL13	6357	-0.103598827	0.83701755
SLC19A1	6573	-0.033560622	0.837152559
EPN1	29924	-0.029052359	0.837152559
SPATA7	55812	-0.031630799	0.837152559
ZNF790	388536	-0.032879215	0.837203829
ATAD3B	83858	-0.039037237	0.837203829
TRIM28	10155	-0.033868325	0.837332346
RCN2	5955	0.034055827	0.83752576
BCOR	54880	-0.026592161	0.83752576
PGAM4	441531	-0.03413897	0.837532468
GNG10	2790	0.027875721	0.837532468
EARS2	124454	-0.0259648	0.837532468
DNAJC7	7266	-0.022183461	0.837753312
FAM110A	83541	0.036168829	0.837753312
MORN1	79906	-0.042123791	0.837760267
PLA2G4A	5321	-0.062664701	0.839039253
LYRM4	57128	-0.037468304	0.839039253
APEX1	328	-0.032137812	0.83907018
EIF4E2	9470	-0.022169987	0.83914391
TOR1A	1861	0.02259644	0.83914391
C19orf23	148046	0.041699707	0.83924457
VPS8	23355	-0.024083989	0.839247566
TMEM135	65084	-0.029143438	0.839247566
MYRIP	25924	-0.057473307	0.839247566
GRHL3	57822	-0.064042922	0.839247566
PLD2	5338	0.033638101	0.839255494
TUBA4A	7277	0.054329592	0.839255494
B4GALNT1	2583	-0.073263315	0.839384105
PEA15	8682	-0.033215672	0.83950285
EFCAB1	79645	-0.103119204	0.839555776
UBE3A	7337	0.022878367	0.840116656
ASAH1	427	-0.029722268	0.840145265
WDR63	126820	-0.097614015	0.840388094
HCG18	414777	-0.02849007	0.840517431
CEP135	9662	-0.031069484	0.840660366
FAM35B	414241	-0.028684368	0.840660366
DHX8	1659	0.022101175	0.840787389
DTWD1	56986	0.026232416	0.840845943
